artist,title,cleaned_lyrics
Alka Yagnik,Tu Na Jaa Mere Baadshah,"हो...ऊँ...हो...ऊँ...हो...ऊँ...हो...ऊँ... और, बाद्शह् उतारा, वादे, तोद्द् .. और, बाद्शह् उतारा, वादे, तोद्द् .. वापस्, आउन्ग हू, जान् अप्नि, छोद् .. और, बाद्शह् वादे वादे, तोद्द् .. खुद तुझे, वास्त लौत् मैं हूँ, देखुन्गि मेरा, जाली.. वादे, ताकि, मर्र् होना, वपस् आउन्ग.. को, और, बाद्शह् उतारा, वादे, तोद् .. और, बाद्शह् लेकिन अब, चलो, त्वचा, फ़ुर्कत् मुझे.. दोबारा, और, बाद्शह् लेकिन अब, चलो, त्वचा, फ़ुर्कत् मुझे.. वापस्, आउन्ग अधिक, वाद हस्स् क्या, रुख्सद् मुझे.. आ अधिक, मेह्बूब् आ जाने साथ, जी छड़, एक प्रकार की पक्षी.. तस्वीर् चहु प्रहार, आन्खेइन् ज़र बन्द् क्या, एक प्रकार की पक्षी.. और, बाद्शह् उतारा, वादे, तोद्द् .. और, बाद्शह् उतारा, वादे, तोद्द् .. वापस्, आउन्ग हू, जान् अप्नि, छोद् .."
Alka Yagnik,Tu Muskura,मुस्कुरा जहाँ भी मुस्कुरा धुप की तरह बदन छु ज़रा शारीर मुस्कुराहटें तेरी बदन में सुनती हूँ में आहटें तेरी लबों आके छु अपने लब ज़रा मुस्कुरा जहाँ भी मुस्कुरा शारीर मुस्कुराहटें तेरी बदन में सुनती हूँ में आहटें तेरी कैसा हैं ख्यालों में अक्सर तुझको सोचूँ मेहेक जाती हूँ मेरी रूह में बसी हैं तेरी खुशबू तुझको छु लूं बाहेक जाती हूँ तेरी आँखों में... तेरी आँखों में कोई जादू हैं मुस्कुरा जहाँ भी मुस्कुरा मुस्कुरा जहाँ भी मुस्कुरा मुस्कुरा धुप की तरह बदन छु ज़रा छु ज़रा शारीर मुस्कुराहटें तेरी बदन में सुनती हूँ में आहटें तेरी तेज़ चलती हैं हवाओं की साँसें मुझको बाहों में लपेट छुपाले तेरी आँखों की हसीं लोरियों मैं मैं बदन बीचा दूँ सुलाले तेरी आँखों में... तेरी आँखों में कोई नशा मुस्कुरा जहाँ मुस्कुरा मुस्कुरा जहाँ भी मुस्कुरा धुप की तरह बदन छु ज़रा शारीर मुस्कुराहटें तेरी बदन में सुनती हूँ में आहटें तेरी
Alka Yagnik,Man Basia,"द.. मन् बसिय, कन्ह रन्ग् रसिय, कभी-कभी.. पवन् प्रभति, जग् जगाति भव्रेइन् गुन्जन् पंख पसारे, उदय पाखेरू सिन्दूरि, सिन्दूरि, आन्गन् मंगल, मंगल, बेल मन्गल् सौरभ्, सौरभ्, भुवन् चर्नो फूल् चधाने आअयि राधा, मोहन.. मन् बसिय, कन्ह रन्ग् रसिय, कभी-कभी... बावरिय, सुध् बुध् भूलि मुझ्को लागि लगन् मूर्ख, सन्झ् सकारे नाम् जपेय् मन्न् तुझ्पे जीवन् अर्पण.. चर्नो फूल् चधाने आअयि राधा, मोहन् मन् बसिय, कन्ह रन्ग् रसिय, कभी-कभी.."
Alka Yagnik,Yeh Rishta Kya Kehlata Hai (Title Track),चोरि चोरि सप्नो हा दिल् अन्जनि दोरि बन्ध जये विश्वस् गथ् बन्धन् जन्मो पवन् बन्धन् पल् जुद् रिश्त केह्लत .. रिश्त केह्लत रश्मो कश्मो दिल् बलिहरि जये जते परये अर्मनो आन्गन् जज़्बात् सन्गम् आन्गन् मेह्कत रिश्त केह्लत रिश्त केह्लत रिश्त केह्लत
Alka Yagnik,Idhar Chala Mein Udhar Chala,"इधर चला मैं उधर चला इधर चला मैं उधर चला जाने कहाँ मैं किधर चला फिसल गया, तूने किया इधर चली मैं उधर चली जाने कहाँ मैं किधर चली फिसल गयी, संग चली नज़र किसकी हमें लगी चलते-चलते फिसल हँसी-हँसी में हुआ हम बदल क्यों बदल गये, हम बदल इधर चला मैं उधर.... तुम इतने भोले किस लिए तुम इतनी अच्छी इस लिए क्यों अच्छी हूँ बताओ तुम क्यूँ बताऊँ मैं कुछ बताओ ना, क्यूँ बताऊँ मैं इधर चली मैं उधर..."
Alka Yagnik,Raghupati Raghav,"रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, रज रम् रज रम् रघुपति रघव् राजा राम, रज रम् रज रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् ईश्वर अल्लाह तेरो नाम सब्को सन्मति भग्वन् रघुपति रघव् राजा राम, रज रम् रज रम् रघुपति रघव् राजा राम, रज रम् रज रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम् रघुपति रघव् राजा राम, पतित् पवन् सित रम्"
Alka Yagnik,Deewana Mujhe Kar Gaya,"ओह... उपाय, फ़रियाद् खुद , बाद्शह् खुद गवाह्.. हम्म.. हम्म... हम्म वापस्, आउन्ग ह्म्म्म् वादे, ह्म्म्म् अनिवार्य, ह्म्म्म् एमएआरआर, ह्म्म्म् वादे, तोद्द् ह्म्म्म् यून, छोद् ह्म्म्म् वहाँ, जायेग होग, बेवफ़ा.. ओह ओह ओह ओह ओह कत्त् चाहना, तल्वार् रुक्क् चाहना, दीवर् उत्तर् मैदान् मेरा, निकल् तूफ़न् जुन्ग् दो, लहु रन्ग् बेह् जाये संबंधित, रेह् जाये करिश्म दिख, कहे मर्हब रहे, दुनिय कहे हज़ारोन् अच्छा, अकेल बाद्शह् .. ओओओ... दीवन मुझे, हाये दोबारा, जान रेखा, आन वह.. ओऊ , आयि याद् त्वचा, आ देख्, दीवन वह.. और, बाशह् उतारा, वादे, तोद् .. वादे, ताकि, मर्र् होना, वापस् आउन्ग.. आआआआ.....आआन.....आआन...."
Alka Yagnik,Agar Tum Saath Ho,"पल् भर् थहर् जओ दिल् सम्भल् जये तुम्हे रोक करून् तरफ़् अत घम् फिसल् जये अन्खोन् भरून् बिन् बातेइन् तुम्से को, होबेह्ति ऊपरवाला, नेहरेइन् नदिय दुनिय मेरा, दुनिय चहतोन् धल् जति हून् आदतोन् नज़्रोन् एक सपने में, सप्नो नरज़ि बतेइन् दिल् लफ़्ज़ोन् धोके बज़ि फ़र्क् बेदर्द् ज़िन्दगि बेदर्द् होपल्केइन् झपक्ते आप ही व्यक्ति हैं सर्वश्रेष्ठ में सर्वश्रेष्ठ होंगे। तरफ़् अत घम् फिसल् जय आन्खोन् भरून् बिन् बातेइन् अँगूठा करून् नज़्रोन् दो, सप्ने सप्नो नरज़ि बतेइन् दिल् लफ़्ज़ोन् धोके बज़ि फ़र्क् बेदर्द् जिंदगी, बेदर्द् हैअगर् दिल् सम्भल् जये घम् फिसल् जये दिल् निकल् जाये घम् फ़िसल् जये"
Alka Yagnik,Deewana,दीवन दीवन बन् अफ़्सान बन् खबर् जाने दिल् दीवनि दीवन दीवनि दीवन तुम सुंदर हो। दीवन बन् अफ़्सान बन् जदू निगहोन् मुझ्पे असर् जदू निगहोन् मुझ्पे असर् दिल् दीवन वद जान् दिल् दीवनि दीवन दीवनि दीवन दीवन दीवन बन् धद्कने सुन् धद्कनो ज़ुबान् धद्कने सुन् धद्कनो ज़ुबान् हसीन् नज़र अर्मान् जवन् बिन् पल् जीन फ़ैस्ल दीवनि दीवन दीवनि दीवन दीवन दीवन बन् अफ़्सान बन् खबर् जाने दिल् दीवनि दीवन दीवन
Alka Yagnik,Mujhko Mana Lena,जान तुम्से रहुन् नराज् तक्क् पहुचे अल्फ़ाज् मुझ्को लेन हाँ… बस्स् मुझ्को लेन !! मुझ्को लेन हाँ… बस्स् मुझ्को लेन !! जान बद्ले अन्दाज् फिर् तुम्हे हक् व्हि देके अवाज् मुझ्को लेन हाँ… मुझ्को लेन !! मुझ्को लेन हाँ… मुझ्को लेन !! दुनिय कहेइ यु चल्त बस्स् ख्वाइश् इश्क़् बेह्त !! सिव चहे आस्मान् बाप अभी भी संभव है? शाम् धले बिन् सुभ लगे रूथ हुव सा दिन् मुझ् हाँ… बस्स् मुझ् मुझ् हाँ… बस्स् मुझ् लम्हे केहने लगे मिल्ते रहेन् मन् ऐसा मौसम् दूजे जीते रहेन् मुझेर चहे दर्मिय मैं खी जान चोद्के जौन् ग खु तुम्से लौत्के आउन् ग मुझ्को सता देन हाँ… बस्स् मुझ्को सता देन मुझ्को सता देन हाँ… बस्स् मुझ्को सता देन मुझ्को लेन हाँ… बस्स् मुझ्को लेन !! मुझ्को लेन हाँ… मुझ्को लेन !!
